GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user,com.assignment.user.controller,UserController,0,117,0,12,0,31,0,14,0,8
user,com.assignment.user.mapper,UserMapper,34,0,0,0,7,0,5,0,5,0
user,com.assignment.user.util,Constants,7,0,0,0,2,0,1,0,1,0
user,com.assignment.user,UserApplication,22,0,0,0,6,0,2,0,2,0
user,com.assignment.user.config,FeignClientConfig,30,0,4,0,9,0,5,0,3,0
user,com.assignment.user.config,DotenvConfig,5,0,0,0,2,0,2,0,2,0
user,com.assignment.user.config,JWTFilter,68,0,10,0,17,0,7,0,2,0
user,com.assignment.user.config,JWTService,97,0,4,0,25,0,9,0,7,0
user,com.assignment.user.config,ModelMapperConfig,7,0,0,0,2,0,2,0,2,0
user,com.assignment.user.config,MyUserDetailsImpl,16,0,0,0,6,0,4,0,4,0
user,com.assignment.user.config,MyUserDetailsService,20,0,2,0,5,0,3,0,2,0
user,com.assignment.user.config,SecurityConfig,73,0,0,0,19,0,7,0,7,0
user,com.assignment.user.exception,UserCreationException,0,4,0,0,0,2,0,1,0,1
user,com.assignment.user.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
user,com.assignment.user.exception,GlobalExceptionHandler,46,0,0,0,16,0,4,0,4,0
user,com.assignment.user.service.implementation,UserServiceImpl,0,271,0,6,0,72,0,14,0,11
